"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"SFR Reporting","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-14434","","","7/17/2012 5:06:31 PM","1/8/2025 8:17:28 PM","CN=SFR Reporting,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SFR Reporting"
"DHCP Administrators","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-1889","","Members who have administrative access to DHCP service","10/26/2001 7:15:33 PM","5/13/2021 2:39:40 PM","CN=DHCP Administrators,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/DHCP Administrators"
"$TF9000-B0GAOHHCOJIH","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18430","S-1-5-21-507921405-1202660629-1343024091-9725","This group is used during Exchange setup and is not intended to be used for other purposes.","10/3/2013 7:11:39 PM","5/13/2021 2:40:18 PM","CN=Exchange Install Domain Servers,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/Exchange Install Domain Servers"
"SQLAccessGroup {B98CD0C6-99F7-4AEB-8584-009662239D2D}","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-5984","","","5/31/2005 8:26:13 PM","5/13/2021 2:39:40 PM","CN=SQLAccessGroup,OU=SolomonEdwardsGroup,DC=solomonedwards,DC=com","solomonedwards.com/SolomonEdwardsGroup/SQLAccessGroup"
"MSQUARED$$$","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18463","S-1-5-21-507921405-1202660629-1343024091-12158","This group created to enable SIDHistory. Do not add users","10/3/2013 7:11:46 PM","5/13/2021 2:40:18 PM","CN=MSQUARED$$$,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/MSQUARED$$$"
"SQLAccessGroup {DD8F25B6-D857-4034-AABB-763DC2745FF1}","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-5985","","","5/31/2005 8:40:23 PM","5/13/2021 2:39:40 PM","CN=SQLAccessGroup,OU=SolomonEdwardsGroup,OU=TestUsers,DC=solomonedwards,DC=com","solomonedwards.com/TestUsers/SolomonEdwardsGroup/SQLAccessGroup"
"SQLRepl {DD8F25B6-D857-4034-AABB-763DC2745FF1}","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-5988","","","5/31/2005 8:53:15 PM","5/13/2021 2:39:40 PM","CN=SQLRepl,OU=SolomonEdwardsGroup,OU=TestUsers,DC=solomonedwards,DC=com","solomonedwards.com/TestUsers/SolomonEdwardsGroup/SQLRepl"
"OWS_3692809285_admin","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18465","S-1-5-21-507921405-1202660629-1343024091-5655","Microsoft SharePoint role 'admin' for web 'http://la-srv'","10/3/2013 7:11:47 PM","5/13/2021 2:40:18 PM","CN=OWS_3692809285_admin,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_3692809285_admin"
"PrivUserGroup {DD8F25B6-D857-4034-AABB-763DC2745FF1}","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-5987","","","5/31/2005 8:53:15 PM","5/13/2021 2:39:40 PM","CN=PrivUserGroup,OU=SolomonEdwardsGroup,OU=TestUsers,DC=solomonedwards,DC=com","solomonedwards.com/TestUsers/SolomonEdwardsGroup/PrivUserGroup"
"OWS_783238332_admin","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18467","S-1-5-21-507921405-1202660629-1343024091-5197","Microsoft SharePoint role 'admin' for web 'http://srv10'","10/3/2013 7:11:47 PM","5/13/2021 2:40:18 PM","CN=OWS_783238332_admin,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_783238332_admin"
"MyAuthZGrp","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-6678","","","4/3/2006 5:13:52 PM","5/13/2021 2:39:40 PM","CN=MyAuthZGrp,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/MyAuthZGrp"
"OWS_783238333_admin","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18469","S-1-5-21-507921405-1202660629-1343024091-6189","Microsoft SharePoint role 'admin' for web 'http://srv11'","10/3/2013 7:11:48 PM","5/13/2021 2:40:18 PM","CN=OWS_783238333_admin,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_783238333_admin"
"SEG - IT","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-7693","","","6/19/2007 7:07:42 PM","12/2/2023 6:11:38 PM","CN=SEG - IT,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - IT"
"m2mh","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-17128","","","8/29/2013 9:34:32 PM","5/13/2021 2:40:18 PM","CN=m2mh,OU=MSquared Contacts,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/MSquared Contacts/m2mh"
"WSUS Systems","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-11631","","","9/9/2010 9:55:12 PM","5/13/2021 2:40:11 PM","CN=WSUS Systems,OU=WSUS Computers,DC=solomonedwards,DC=com","solomonedwards.com/WSUS Computers/WSUS Systems"
"$0DF000-LJ21KQ94U393","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-15776","","This group is used during Exchange setup and is not intended to be used for other purposes.","2/9/2013 8:32:13 PM","5/13/2021 2:40:51 PM","CN=Exchange Install Domain Servers,CN=Microsoft Exchange System Objects,DC=solomonedwards,DC=com","solomonedwards.com/Microsoft Exchange System Objects/Exchange Install Domain Servers"
"HR-CompChangeRequestor","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-10258","","","10/1/2010 3:07:31 PM","5/13/2021 2:40:12 PM","CN=HR-CompChangeRequestor,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Sharepoint Groups/HR-CompChangeRequestor"
"SEG - CTR BU FTEs","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-7797","","","10/24/2007 4:09:23 PM","10/15/2025 3:12:11 PM","CN=SEG - CTR BU FTEs,OU=Distribution Groups,OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/TX - Houston/z - Groups/Distribution Groups/SEG - CTR BU FTEs"
"Exchange Enterprise Servers","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-1278","","Microsoft Exchange Enterprise Servers group -- DO NOT move or rename","6/22/2001 1:20:03 AM","5/13/2021 2:40:14 PM","CN=Exchange Enterprise Servers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Exchange Enterprise Servers"
"OWS_3692809285_browser","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18466","S-1-5-21-507921405-1202660629-1343024091-5654","Microsoft SharePoint role 'browser' for web 'http://la-srv'","10/3/2013 7:11:47 PM","5/13/2021 2:40:20 PM","CN=OWS_3692809285_browser,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_3692809285_browser"
"WSS Admin Group Account","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-6679","","Sharepoint Admin Group Acount (http://phlspt01:3588/ntadmingroup.aspx)","4/3/2006 5:25:34 PM","5/13/2021 2:40:18 PM","CN=WSS Admin Group Account,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/WSS Admin Group Account"
"OWS_783238333_browser","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18470","S-1-5-21-507921405-1202660629-1343024091-6188","Microsoft SharePoint role 'browser' for web 'http://srv11'","10/3/2013 7:11:48 PM","5/13/2021 2:40:20 PM","CN=OWS_783238333_browser,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_783238333_browser"
"MSquared1","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-17426","","","5/22/2013 9:55:47 PM","5/13/2021 2:40:18 PM","CN=MSquared1,OU=MSquared Contacts,OU=Project Based Accounts,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Project Based Accounts/MSquared Contacts/MSquared1"
"LiquidHubs","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-17465","","","7/11/2013 1:43:22 PM","5/13/2021 2:40:18 PM","CN=LiquidHubs,OU=LiquidHub,OU=Allowed Vendors,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Allowed Vendors/LiquidHub/LiquidHubs"
"IIS_WPG","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-7897","S-1-5-21-507921405-1202660629-1343024091-6187","IIS Worker Process Group","1/28/2007 7:25:13 AM","5/13/2021 2:40:20 PM","CN=IIS_WPG,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/IIS_WPG"
"Team Room Admin","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-10260","","","10/1/2010 3:18:58 PM","5/13/2021 2:40:28 PM","CN=Team Room Admin,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Sharepoint Groups/Team Room Admin"
"OWS_783238332_browser","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18468","S-1-5-21-507921405-1202660629-1343024091-5196","Microsoft SharePoint role 'browser' for web 'http://srv10'","10/3/2013 7:11:48 PM","5/13/2021 2:40:20 PM","CN=OWS_783238332_browser,OU=Groups,OU=_Migration from Msquared to SolomonEdwards,DC=solomonedwards,DC=com","solomonedwards.com/_Migration from Msquared to SolomonEdwards/Groups/OWS_783238332_browser"
"SEG - Marketing","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3273","","","1/14/2005 5:16:26 PM","9/19/2025 6:42:35 PM","CN=SEG - Marketing,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Marketing"
"All M Squared Users","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18402","S-1-5-21-507921405-1202660629-1343024091-8835","Group used to grant access to Network Shares","10/3/2013 7:11:32 PM","5/13/2021 2:40:20 PM","CN=All M Squared Users,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/All M Squared Users"
"SEG - CRMs","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7843","","","2/19/2008 7:07:55 PM","10/23/2025 10:26:26 PM","CN=SEG - CRMs,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - CRMs"
"HelpServicesGroup","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18447","S-1-5-21-507921405-1202660629-1343024091-6191","Group for the Help and Support Center","10/3/2013 7:11:43 PM","5/13/2021 2:40:20 PM","CN=HelpServicesGroup,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/HelpServicesGroup"
"SF - Consultants","","Security","Universal","Zdravko V. Markov","S-1-5-21-1191714633-765097213-697575874-18899","","","9/4/2013 10:49:33 PM","11/7/2025 4:25:21 PM","CN=SF - Consultants,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/SF - Consultants"
"New Hire Tracking","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7458","","","9/28/2006 2:03:47 PM","10/17/2025 2:43:20 PM","CN=New Hire Tracking,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Sharepoint Groups/New Hire Tracking"
"M2 SegWay Access","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-20206","","","1/17/2014 2:47:49 PM","5/13/2021 2:40:20 PM","CN=M2 SegWay Access,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/M2 SegWay Access"
"AXIOM Users","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-8448","","AMEX Integration Users","3/26/2009 7:11:38 PM","8/18/2025 4:58:01 PM","CN=AXIOM Users,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/AXIOM Users"
"FDIC PMO Team","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-9621","","","3/4/2010 7:14:12 PM","7/16/2024 7:19:41 PM","CN=FDIC PMO Team,OU=Distribution Groups,OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/TX - Houston/z - Groups/Distribution Groups/FDIC PMO Team"
"SEG - Resource Managers","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7471","","","10/3/2006 5:08:14 PM","7/10/2025 10:39:31 PM","CN=SEG - Resource Managers,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Resource Managers"
"SEG - Human Resources","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3078","","","10/2/2003 1:35:23 PM","9/16/2025 12:47:31 AM","CN=SEG - Human Resources,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Human Resources"
"SEG - Partners","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7643","","","4/12/2007 3:39:07 PM","10/28/2025 5:22:31 PM","CN=SEG - Partners,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Partners"
"SP-SiteBuilder","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-17966","","","10/21/2013 10:11:18 PM","12/2/2023 6:11:38 PM","CN=SP-SiteBuilder,OU=Sharepoint Groups,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/Sharepoint Groups/SP-SiteBuilder"
"SEG - All Consultants","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7633","","","2/6/2007 6:24:39 PM","2/16/2023 7:53:44 AM","CN=SEG - All Consultants,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - All Consultants"
"Offer Remote Assistance Helpers","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-15798","","Members in this group can offer Remote Assistance to the users of this machine","3/5/2013 5:36:32 AM","5/13/2021 2:40:28 PM","CN=Offer Remote Assistance Helpers,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/Offer Remote Assistance Helpers"
"SEG - All Employees","","Distribution","Universal","","S-1-5-21-1191714633-765097213-697575874-13727","","SEGCompany & Project Consultants","2/24/2012 5:10:29 PM","4/5/2023 4:12:31 PM","CN=SEG - All Employees,CN=Users,DC=solomonedwards,DC=com","solomonedwards.com/Users/SEG - All Employees"
"Concur Pilot Group","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-15101","","","7/20/2012 6:09:44 PM","8/18/2025 4:58:01 PM","CN=Concur Pilot Group,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Concur Pilot Group"
"SEG - PHL BU FTEs","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3054","","","9/29/2003 7:21:31 PM","10/22/2025 5:48:02 PM","CN=SEG - PHL BU FTEs,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - PHL BU FTEs"
"SEG - Lead Gen","","Distribution","Universal","Administrator","S-1-5-21-1191714633-765097213-697575874-19905","","","10/23/2013 3:07:36 PM","9/25/2024 2:52:22 PM","CN=SEG - Lead Gen,OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Distribution Groups/SEG - Lead Gen"
"SEG - BFS BU FTEs","","Security","Global","Administrator","S-1-5-21-1191714633-765097213-697575874-19917","","","11/6/2013 11:41:34 PM","10/6/2025 2:34:17 PM","CN=SEG - BFS BU FTEs,OU=Distribution Groups,OU=z - Groups,OU=TX - Houston,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/TX - Houston/z - Groups/Distribution Groups/SEG - BFS BU FTEs"
"SEG - Invoicing","","Distribution","Universal","Tim Walsh","S-1-5-21-1191714633-765097213-697575874-21425","","","8/20/2014 4:49:31 PM","10/17/2025 2:43:20 PM","CN=SEG - Invoicing,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - Invoicing"
"SEG - Full Time Employees","","Distribution","Universal","","S-1-5-21-1191714633-765097213-697575874-16010","","","10/15/2012 3:42:00 PM","11/4/2025 3:50:15 PM","CN=SEG - Full Time Employees,OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Distribution Groups/SEG - Full Time Employees"
"SEG - Accounts Payable","","Distribution","Universal","Administrator","S-1-5-21-1191714633-765097213-697575874-19824","","","9/6/2013 3:21:03 PM","10/17/2025 2:43:20 PM","CN=SEG - Accounts Payable,OU=Finance,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/Corporate Services/Finance/SEG - Accounts Payable"
"SEG - GP Users","","Distribution","Universal","","S-1-5-21-1191714633-765097213-697575874-10199","","","7/21/2010 7:16:54 PM","5/13/2021 2:40:20 PM","CN=SEG - GP Users,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/SEG - GP Users"
"SEG - Legal","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-18276","","","5/16/2014 4:38:47 PM","9/8/2023 5:58:05 PM","CN=SEG - Legal,OU=H.R.,OU=Corporate Services,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/Corporate Services/H.R./SEG - Legal"
"SEG - Liberty Net","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-7818","","","11/27/2007 8:01:32 PM","2/16/2023 7:36:02 AM","CN=SEG - Liberty Net,OU=Distribution Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Distribution Groups/SEG - Liberty Net"
"Sales Operations","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18476","S-1-5-21-507921405-1202660629-1343024091-8974","Group used to grant access to Network Shares","10/3/2013 7:11:50 PM","6/20/2024 4:42:51 PM","CN=Sales Operations,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Sales Operations"
"ADMTADMINS","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-18400","S-1-5-21-507921405-1202660629-1343024091-11181","","10/3/2013 7:11:31 PM","5/13/2021 2:40:33 PM","CN=ADMTADMINS,OU=extrateam,DC=solomonedwards,DC=com","solomonedwards.com/extrateam/ADMTADMINS"
"testy","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-22884","","","12/5/2014 11:27:46 PM","5/13/2021 2:40:20 PM","CN=testy,OU=Testy1,OU=TestUsers,DC=solomonedwards,DC=com","solomonedwards.com/TestUsers/Testy1/testy"
"Managment Tools Admin","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18461","S-1-5-21-507921405-1202660629-1343024091-8670","Group used to grant access to Network Shares","10/3/2013 7:11:46 PM","7/10/2023 3:13:54 PM","CN=Management Tools Admins,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Management Tools Admins"
"IT","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24621","","","12/9/2015 3:02:16 PM","12/2/2023 6:11:38 PM","CN=IT,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/IT"
"EXCO-Drive","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18433","S-1-5-21-507921405-1202660629-1343024091-8691","Group used to grant access to Network Shares","10/3/2013 7:11:40 PM","5/13/2021 2:40:20 PM","CN=EXCO-Drive,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/EXCO-Drive"
"TAM","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24631","","","12/9/2015 3:05:10 PM","7/26/2024 7:19:38 PM","CN=TAM,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/TAM"
"Agreement Admins","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18401","S-1-5-21-507921405-1202660629-1343024091-8663","Group used to grant access to Network Shares","10/3/2013 7:11:32 PM","5/8/2025 4:51:18 PM","CN=Agreement Admins,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/Agreement Admins"
"Search","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-24630","","","12/9/2015 3:05:00 PM","3/11/2023 4:52:18 PM","CN=Search,OU=Z - Company Groups,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/Z - Company Groups/Search"
"SEG - Accounting Dept","","Security","Global","","S-1-5-21-1191714633-765097213-697575874-3057","","","9/29/2003 7:30:15 PM","10/17/2025 2:43:20 PM","CN=SEG - Accounting Dept,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/SEG - Accounting Dept"
"Accounting","","Security","DomainLocal","","S-1-5-21-1191714633-765097213-697575874-1133","","Accounting users","6/22/2001 1:20:02 AM","10/17/2025 2:43:20 PM","CN=Accounting,OU=Mail Enable Security Groups,OU=z - Groups,OU=PA - King of Prussia,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/PA - King of Prussia/z - Groups/Mail Enable Security Groups/Accounting"
"MacUsers-Share","","Security","Universal","","S-1-5-21-1191714633-765097213-697575874-18460","S-1-5-21-507921405-1202660629-1343024091-8680","Group Used to grant access to Network Shares","10/3/2013 7:11:46 PM","5/13/2021 2:40:20 PM","CN=MacUsers-Share,OU=Legacy M2 Groups,OU=z - Groups,OU=SF - Msquared,OU=SolomonEdwardsGroup\, LLC,OU=Organizational Units,DC=solomonedwards,DC=com","solomonedwards.com/Organizational Units/SolomonEdwardsGroup, LLC/SF - Msquared/z - Groups/Legacy M2 Groups/MacUsers-Share"
